,city,Street,ZIP,LAT,LON
233700,SANTA ROSA,ROUND BARN BLVD & ROUND BARN CIR,95403.0,38.47917591,-122.72859240000001
233701,SANTA ROSA,MERCIE ST & OPAL,95403.0,38.47272814,-122.7332097
233702,SANTA ROSA,GLENGREEN & OAKMONT DR,95409.0,38.43554456,-122.5987374
233703,SANTA ROSA,FOUNTAINGROVE PKWY & STAGECOACH RD,95403.0,38.48614335,-122.71096899999999
233704,SANTA ROSA,GREENFIELD CIR & OAKMONT DR,95409.0,38.43434,-122.59538400000001
233705,SANTA ROSA,BLUEBELL DR & COFFEY LN,95403.0,38.465888,-122.741677
233706,SANTA ROSA,CHEROKEE AVE & CHEROKEE CT,95403.0,38.46483701,-122.74657009999999
233707,SANTA ROSA,STONEFIELD LN & THOMAS LAKE HARRIS DR,95403.0,38.48209519,-122.72108359999999
233708,SANTA ROSA,BAY VILLAGE AVE & BAY VILLAGE CIR & MARLOW RD,95403.0,38.46563068,-122.7512033
233709,SANTA ROSA,CRESTVIEW DR & HOPPER AVE,95403.0,38.47970992,-122.74547179999999
233710,SANTA ROSA,GLENSIDE ST & WESTVALE CT,95403.0,38.45403303,-122.76716270000001
233711,SANTA ROSA,DIEGO AVE & WALTZER RD,95403.0,38.47337355,-122.7563159
233712,SANTA ROSA,STEELE WAY & W STEELE LN,95403.0,38.45996937,-122.73166409999999
233713,SANTA ROSA,MOUNTAIN VISTA PL & OAK TRAIL DR,95409.0,38.43240538,-122.5773524
233714,SANTA ROSA,CHAPALA DR & ESTRELLA DR,95403.0,38.46635881,-122.73568519999999
233715,SANTA ROSA,DORADO CT & PLATA CT,95403.0,38.45921619,-122.7373216
233716,SANTA ROSA,BICENTENNIAL WAY & THE OVERLOOK,95403.0,38.47173676,-122.72091370000001
233717,SANTA ROSA,GLEN EAGLE CT & SKYFARM DR,95403.0,38.49571186,-122.72011
233718,SANTA ROSA,ANGELUS ST & FLAMINGO RD,95403.0,38.47428388,-122.72853570000001
233719,SANTA ROSA,PIONEER WAY & RED OAK CIR,95403.0,38.46808224,-122.7603815
233720,SANTA ROSA,DUTTON AVE & WB DUTTON AV OFFRAMP & WB DUTTON AV ONRAMP,95401.0,38.43343219,-122.72632890000001
233721,SANTA ROSA,OAK LEAF CIR & OAK LEAF DR,95409.0,38.43223811,-122.58350630000001
233722,SANTA ROSA,SAN JUAN ST & SAN LUIS AVE,95409.0,38.47532697,-122.652274
233723,SANTA ROSA,OLIVE ST & RAILROAD ST,95401.0,38.43466572,-122.71957340000002
233724,SANTA ROSA,SHADYOAK DR & SHADYOAK PL & SHERBROOK DR,95404.0,38.46313078,-122.6774493
